name,url,slogan,rate
CreativeFeed,/profile/creativefeed,New York Digital Marketing Agency," $25 - $49 / hr
"
Version 2.0 Communications,/profile/version-20-communications,Unmatched Communications Expertise," $25 - $49 / hr
"
Gaslight Communications & Digital Strategy,/profile/gaslight-communications-digital-strategy,"PR, Digital Strategy & Social Media Agency", Undisclosed 
Cashman & Associates,/profile/cashman-associates,We'll Tell Your STORY to the WORLD," $150 - $199 / hr
"
Zer0 to 5ive,/profile/zer0-5ive,Make Your Marketing Count," $150 - $199 / hr
"
Pop2Life,/profile/pop2life,A Condé Nast Agency," $150 - $199 / hr
"
BWR Public Relations,/profile/bwr-public-relations,Nurturing individualized client growth.," $100 - $149 / hr
"
SRA Communications,/profile/sra-communications,Helping You Connect, Undisclosed 
Aspectus Group,/profile/aspectus-group,International Communications Agency, Undisclosed 
Magrino PR,/profile/magrino-pr,PUBLIC RELATIONS SERVICES, Undisclosed 
AdForum,/profile/adforum,Leading PR Network in the Marketing & Advertising, Undisclosed 
Five Blocks,/profile/five-blocks,Intellegent Digital Reputation Management, Undisclosed 
ID Public Relations,/profile/id-public-relations,"Clear, concise messaging designed to resonate."," $100 - $149 / hr
"
ABMC,/profile/abmc,Brand Building for the Things and People We Love.," $100 - $149 / hr
"
Bookmark Content and Communications,/profile/bookmark-content-communications,Creative brilliance for brands, Undisclosed 
Team Epiphany,/profile/team-epiphany,We create it.," $100 - $149 / hr
"
Wise Public Relations,/profile/wise-public-relations,NY Public Relations and Communications," $100 - $149 / hr
"
The Halo Group,/profile/halo-group,A Didit Company.," $100 - $149 / hr
"
Soft System Solution,/profile/soft-system-solution,All Solutions Under One Roof, Undisclosed 
Bully Pulpit Interactive,/profile/bully-pulpit-interactive,Results that matter," $150 - $199 / hr
"
Wagstaff Worldwide,/profile/wagstaff-worldwide,A Full-Service Public Relations and Marketing Firm, Undisclosed 
Perelson Weiner LLP,/profile/perelson-weiner-llp,We're in the knowledge business., Undisclosed 
The Woods & Co,/profile/woods-co,"Fully Integrated, Bicoastal PR firm", Undisclosed 
